text prompt,class name,random seed
A regal bald eagle gracefully gliding across a peaceful lake.,bald eagle,73590
A majestic vulture perched on a tree branch.,vulture,49439
A soaring vulture gliding through the sky.,vulture,28193
A curious vulture observing its surroundings.,vulture,1277
A fierce-looking vulture ready to take flight.,vulture,55299
A solitary vulture surveying the landscape from atop a rock.,vulture,38810
A stunning great grey owl perched majestically on a tree branch.,great grey owl,14784
"The captivating gaze of a great grey owl, truly mesmerizing.",great grey owl,78786
A close-up view of the beautifully patterned feathers of a great grey owl.,great grey owl,73374
Witness the elegant flight of a great grey owl against a colorful sunset.,great grey owl,10375
"An incredible shot of a great grey owl, showcasing its striking silvery plumage.",great grey owl,42294
A European fire salamander resting on a moss-covered rock.,European fire salamander,38048
A close-up of a European fire salamander basking in the sun.,European fire salamander,97209
A European fire salamander blending in with its forest surroundings.,European fire salamander,52220
An adorable European fire salamander exploring a damp woodland floor.,European fire salamander,6527
A vibrant European fire salamander showcasing its unique patterns.,European fire salamander,54804
A common newt resting on a mossy rock.,common newt,3838
A curious common newt exploring a muddy pond.,common newt,22792
A tiny common newt basking in the warm sunshine.,common newt,20964
A colorful common newt blending into its leafy surroundings.,common newt,1726
A charming common newt peering out from the edge of a stream.,common newt,99159
An eft perched on a moss-covered rock.,eft,50517
A curious eft exploring a vibrant green leaf.,eft,49359
A tiny eft blending in with its surroundings.,eft,49441
A brightly colored eft resting on a tree branch.,eft,59396
An eft gliding through the crystal-clear waters.,eft,68868
A spotted salamander exploring a mossy forest floor.,spotted salamander,12546
A close-up of a beautiful spotted salamander in its natural habitat.,spotted salamander,51057
A curious spotted salamander peering out from under a fallen log.,spotted salamander,4966
A vibrant spotted salamander blending in perfectly with the forest foliage.,spotted salamander,53550
A stunning spotted salamander showcasing its unique pattern in a serene pond.,spotted salamander,72032
A cute axolotl swimming gracefully in its tank.,axolotl,27987
An adorable axolotl lounging on a bed of colorful pebbles.,axolotl,59431
A mesmerizing close-up of an axolotl's intricate patterns and gills.,axolotl,43057
An axolotl exploring its underwater world with curiosity and grace.,axolotl,91199
A striking albino axolotl showcasing its unique pink hue in the aquarium.,axolotl,45269
A curious bullfrog peeks out from the lily pads.,bullfrog,4306
A bullfrog basking lazily in the warm sun.,bullfrog,71801
A vibrant green bullfrog rests on a mossy rock.,bullfrog,88723
A bullfrog takes a graceful leap into the tranquil pond.,bullfrog,4541
A contented bullfrog floats serenely on a calm summer evening.,bullfrog,89217
A small green tree frog perched on a vibrant leaf.,tree frog,954
A curious tree frog exploring its lush wooden habitat.,tree frog,50520
A tiny tree frog hiding among the branches of a tall tree.,tree frog,59781
A graceful tree frog gracefully balancing on a delicate flower.,tree frog,65070
A beautiful tree frog blending perfectly with its natural green surroundings.,tree frog,27058
A tailed frog sitting on a moss-covered rock.,tailed frog,64022
A curious tailed frog exploring its surroundings.,tailed frog,15341
A small tailed frog blending into its leafy habitat.,tailed frog,20002
A tailed frog perched on a lily pad in a tranquil pond.,tailed frog,98657
A tiny tailed frog resting peacefully on a fallen log.,tailed frog,29542
A loggerhead basking on a sandy beach.,loggerhead,86264
Loggerhead enjoying the calm ocean waters.,loggerhead,42668
An up-close shot of a loggerhead resting on a rocky shore.,loggerhead,97420
Loggerhead exploring the vibrant coral reefs.,loggerhead,89509
A loggerhead gracefully swimming through clear turquoise waters.,loggerhead,60951
A leatherback turtle swimming gracefully in crystal-clear waters.,leatherback turtle,37756
A majestic leatherback turtle basking under the warm sun.,leatherback turtle,13556
A rare sighting of a massive leatherback turtle on a sandy beach.,leatherback turtle,4984
A close-up of a magnificent leatherback turtle gliding effortlessly through the ocean.,leatherback turtle,73039
A captivating image of a leatherback turtle emerging from the depths of the sea.,leatherback turtle,74755
A mud turtle camouflaged amidst the muddy water.,mud turtle,17531
A small mud turtle resting peacefully on a mossy log.,mud turtle,63723
A curious mud turtle poking its head out from its shell.,mud turtle,79062
A beautifully patterned mud turtle basking in the warm sun.,mud turtle,74395
A tiny mud turtle exploring its watery habitat.,mud turtle,47897
A terrapin basking on a sunlit rock by the pond.,terrapin,60077
A calm terrapin swimming gracefully in clear water.,terrapin,13492
A curious terrapin exploring its sandy habitat.,terrapin,43868
A shy terrapin peeking out from its cozy hiding spot.,terrapin,62225
A content terrapin enjoying a peaceful moment in its terrarium.,terrapin,90577
A box turtle soaking up the sun in its natural habitat.,box turtle,41271
A curious box turtle exploring its surroundings.,box turtle,11690
A close-up shot of a colorful box turtle shell.,box turtle,43783
A box turtle slowly making its way through the grass.,box turtle,8795
A box turtle peeking its head out from beneath its shell.,box turtle,76298
A banded gecko perched on a leaf in the rainforest.,banded gecko,85301
A close-up of a banded gecko showcasing its vibrant patterns.,banded gecko,64124
A banded gecko blending perfectly into its rocky surroundings.,banded gecko,49939
"A banded gecko resting on a tree branch, soaking up the sun.",banded gecko,25095
A banded gecko gracefully climbing a tree trunk in the jungle.,banded gecko,74214
A common iguana basking in the warm sun.,common iguana,79832
The vibrant colors of a common iguana on full display.,common iguana,61303
A content common iguana soaking up the tranquility.,common iguana,63932
Observing the curious nature of a common iguana.,common iguana,71256
A close-up of a captivating common iguana.,common iguana,61576
An American chameleon perched on a vibrant green leaf.,American chameleon,43140
A close-up of an intriguing American chameleon capturing attention.,American chameleon,25460
A beautifully camouflaged American chameleon blending into its natural surroundings.,American chameleon,91458
A striking American chameleon displaying vibrant colors and patterns.,American chameleon,88988
A curious American chameleon observing the world with its mesmerizing eyes.,American chameleon,87275
A beautiful whiptail lizard basking in the warm desert sun.,whiptail,65618
A colorful whiptail blending perfectly with the vibrant foliage.,whiptail,42675
A swift whiptail lizard gracefully maneuvering through the rocky terrain.,whiptail,94198
A curious whiptail investigating its surroundings with its distinctive tail.,whiptail,46482
A striking whiptail lizard camouflaged among the sandy landscape.,whiptail,61236
An agama perched on a tree branch against a blue sky.,agama,72113
A close-up of a colorful agama basking in the sun.,agama,24586
A curious agama peeking out from behind a rock.,agama,52466
A vibrant agama blending into its natural habitat.,agama,68199
A stunning agama showcasing its intricate patterns and bright colors.,agama,8426
A frilled lizard basking in the warm sunlight.,frilled lizard,10314
A mesmerizing frilled lizard showcasing its vibrant colors.,frilled lizard,43191
A curious frilled lizard perched on a tree branch.,frilled lizard,21767
A majestic frilled lizard camouflaged among the leaves.,frilled lizard,87057
An elegant frilled lizard displaying its distinctive frill.,frilled lizard,62013
An alligator lizard sunbathing on a tree branch.,alligator lizard,2653
A close-up of an alligator lizard's scaly skin and sharp claws.,alligator lizard,88816
An alligator lizard blending into its natural habitat of rocks and fallen leaves.,alligator lizard,43498
A curious alligator lizard peering out from the safety of a hollow log.,alligator lizard,51558
An alligator lizard slithering gracefully across a mossy tree trunk.,alligator lizard,45098
A Gila monster basking in the desert sun.,Gila monster,24706
A close-up of a docile Gila monster in its natural habitat.,Gila monster,36370
An up-close look at the unique pattern on a Gila monster's scales.,Gila monster,25672
A Gila monster slithering across the barren desert floor.,Gila monster,10274
A fearsome Gila monster showing off its vibrant colors.,Gila monster,19239
A green lizard perched on a leafy branch.,green lizard,66239
A close-up of a vibrant green lizard basking in the sun.,green lizard,56114
A green lizard blending into its grassy surroundings.,green lizard,42219
A curious green lizard exploring its leafy habitat.,green lizard,27546
A sleek green lizard slithering across a moss-covered rock.,green lizard,33416
An African chameleon camouflaging against a vibrant leaf.,African chameleon,67524
A close-up of an African chameleon's colorful scales.,African chameleon,18441
A stunning African chameleon perched on a branch.,African chameleon,72450
An African chameleon blending seamlessly into its surroundings.,African chameleon,28656
A mesmerizing African chameleon displaying its unique patterns.,African chameleon,69065
A majestic Komodo dragon basking in the sunlight.,Komodo dragon,54327
A fearsome Komodo dragon silently observing its surroundings.,Komodo dragon,84143
A powerful Komodo dragon resting in its natural habitat.,Komodo dragon,15078
A close-up of a Komodo dragon showcasing its unique scales.,Komodo dragon,74821
A serene moment captured of a Komodo dragon in its peaceful glory.,Komodo dragon,89766
An African crocodile basking under the hot African sun.,African crocodile,35072
A majestic African crocodile enjoying a peaceful moment in its natural habitat.,African crocodile,63311
A close-up of an African crocodile's menacing gaze.,African crocodile,55103
A powerful African crocodile floating silently in the water.,African crocodile,45075
An African crocodile blending effortlessly into the lush African surroundings.,African crocodile,53781
An American alligator basking in the warm Florida sunshine.,American alligator,32427
A majestic American alligator silently gliding through still waters.,American alligator,64155
A close-up of an American alligator showing off its powerful jaws.,American alligator,41447
An American alligator camouflaged among the lush greenery of the Everglades.,American alligator,26409
A curious American alligator peering out from beneath the murky swamp waters.,American alligator,35746
A triceratops grazing peacefully in a lush green meadow.,triceratops,79227
A majestic triceratops standing tall against a backdrop of towering mountains.,triceratops,85365
A young triceratops exploring its surroundings in a prehistoric forest.,triceratops,50414
A curious triceratops peering out from behind a cluster of jungle leaves.,triceratops,90295
A striking silhouette of a triceratops outlined against a vibrant sunset sky.,triceratops,45512
A majestic thunder snake slithering through a lush green field.,thunder snake,28241
An electrifying close-up of a thunder snake's glowing scales.,thunder snake,18675
An awe-inspiring thunder snake striking through the stormy sky.,thunder snake,64612
A curious thunder snake peering out from its hiding spot in a rocky cave.,thunder snake,64442
A dazzling thunder snake coiling around a lightning bolt in a dramatic display of power.,thunder snake,22232
A ringneck snake slithering gracefully across the forest floor.,ringneck snake,75464
A close-up of a ringneck snake displaying its vibrant colors and patterns.,ringneck snake,75698
A curious ringneck snake exploring its surroundings with its tongue flicking out.,ringneck snake,40294
A slender ringneck snake gracefully coiling itself around a tree branch.,ringneck snake,48070
An adorable baby ringneck snake blending perfectly with its leafy habitat.,ringneck snake,24232
A curious hognose snake slithering through the grass.,hognose snake,70318
A close-up of a hognose snake basking in the sun.,hognose snake,40874
A beautiful hognose snake blending in with its natural habitat.,hognose snake,77356
A striking hognose snake winding gracefully around a branch.,hognose snake,97796
A mesmerizing hognose snake displaying its signature upturned snout.,hognose snake,4767
A ferocious green snake slithering through the grass.,green snake,37216
A beautiful green snake basking in the sunlight.,green snake,60651
An elegant green snake gracefully gliding across the ground.,green snake,38263
A mysterious green snake camouflaged among the leaves.,green snake,30974
"A vibrant green snake coiled up, ready to strike.",green snake,6939
A king snake slithering gracefully on a bed of vibrant green leaves.,king snake,43435
"A close-up of a stunning king snake, showcasing its beautiful patterns.",king snake,91265
A majestic king snake basking in the warm glow of the sun.,king snake,27332
A curious king snake exploring its surroundings with its flickering tongue.,king snake,65694
"A king snake poised and ready to strike, displaying its powerful presence.",king snake,67872
A slim garter snake slithering across a grassy field.,garter snake,28887
A small garter snake basking in the warm sunlight.,garter snake,82515
A shy garter snake hiding among the fallen leaves.,garter snake,77112
A curious garter snake exploring its surroundings.,garter snake,32663
A vibrant garter snake blending into its natural habitat.,garter snake,54306
A water snake gliding gracefully through a sunlit pond.,water snake,77013
A mesmerizing water snake swimming peacefully in clear blue waters.,water snake,21771
A sleek water snake basking on a rock amidst gentle ripples.,water snake,68154
A fascinating close-up of a water snake gracefully slithering through shimmering waves.,water snake,487
A stunning water snake capturing attention with its vibrant colors as it gracefully moves through the water.,water snake,45639
A slender vine snake winding through the branches.,vine snake,27595
A camouflaged vine snake resting on a leaf.,vine snake,94628
A small vine snake gracefully slithering through the grass.,vine snake,39054
A coiled vine snake basking in the sunlight.,vine snake,45043
A curious vine snake peering from behind a tree trunk.,vine snake,10092
A night snake slithering through moonlit grass.,night snake,82525
A close-up of a night snake coiling up under the night sky.,night snake,54259
A mystical night snake gracefully moving through the darkness.,night snake,68705
The beauty of a night snake illuminated by the glow of a street lamp.,night snake,30516
A captivating image of a night snake gliding through a starry night.,night snake,44743
A majestic boa constrictor basking under the warm sunlight.,boa constrictor,54167
A curious boa constrictor slithering gracefully through the vibrant foliage.,boa constrictor,10467
A powerful boa constrictor examining its surroundings with keen eyes.,boa constrictor,89051
A sleek boa constrictor flawlessly blending into its natural habitat.,boa constrictor,43689
A stunning boa constrictor showcasing its beautiful patterned scales.,boa constrictor,40177
A close-up of a majestic rock python basking in the warm sunshine.,rock python,79746
A stunning rock python showcasing its intricate pattern and powerful presence.,rock python,12436
A curious rock python gracefully exploring its natural habitat.,rock python,80922
An impressive rock python blending into the rocky landscape.,rock python,91682
A captivating image of a rock python resting peacefully in its rocky hideout.,rock python,25387
A majestic Indian cobra slithering through lush green grass.,Indian cobra,66995
The mesmerizing pattern of an Indian cobra glistening in the sunlight.,Indian cobra,72285
An up-close view of the vibrant scales of an Indian cobra.,Indian cobra,92416
A fearsome Indian cobra poised and ready to strike.,Indian cobra,25711
The graceful movement of an Indian cobra as it gracefully maneuvers across the ground.,Indian cobra,52638
A green mamba slithering through lush rainforest leaves.,green mamba,63286
A close-up shot of a vibrant green mamba in the wild.,green mamba,48022
The elusive green mamba resting peacefully on a tree branch.,green mamba,42722
An eye-catching green mamba gracefully gliding across the ground.,green mamba,92256
Captivating colors: a stunning image of a striking green mamba.,green mamba,5597
A sea snake swimming gracefully through vibrant coral reefs.,sea snake,31105
A mesmerizing sea snake gliding through crystal-clear ocean waters.,sea snake,10946
A sleek sea snake navigating its way through the deep blue sea.,sea snake,32579
A majestic sea snake basking in the warm rays of the sun.,sea snake,43013
An elegant sea snake showcasing its unique patterns in the calm waters.,sea snake,15064
A horned viper basking in the desert sun.,horned viper,46
A close-up of a horned viper poised to strike.,horned viper,24649
A horned viper camouflaged among the rocks.,horned viper,65751
An elegant horned viper slithering through the sand.,horned viper,15686
A mesmerizing horned viper gazing into the camera.,horned viper,71080
A stunning diamondback resting peacefully on a bed of leaves.,diamondback,78925
A close-up of a diamondback's intricate and vibrant scales.,diamondback,64325
A majestic diamondback gracefully slithering across the forest floor.,diamondback,54391
"The captivating pattern of a diamondback's skin, beautifully contrasting with the surroundings.",diamondback,35330
"A mesmerizing diamondback basking in the warm sunlight, showcasing its natural beauty.",diamondback,24145
A sidewinder slithering through the desert sands.,sidewinder,59939
A sidewinder curving gracefully across the dry terrain.,sidewinder,20869
A sidewinder camouflaged amongst rocks and sand.,sidewinder,73572
A sidewinder showcasing its distinct sidewinding motion.,sidewinder,28470
A sidewinder navigating the arid landscape with ease.,sidewinder,6710
"A fossilized trilobite preserved in rock, showcasing its intricate details.",trilobite,56693
"A perfectly preserved trilobite fossil, a glimpse into ancient marine life.",trilobite,43108
"An exquisite trilobite fossil, a testament to Earth's fascinating history.",trilobite,83043
"A beautifully preserved trilobite fossil, a glimpse into prehistoric times.",trilobite,19303
"A stunning trilobite fossil, an amazing insight into the ancient world.",trilobite,57760
A harvestman perched on a mossy tree branch.,harvestman,31098
A close-up of a harvestman with its long legs extended.,harvestman,48510
A harvestman wandering along a leafy pathway.,harvestman,1335
A harvestman resting on a sunflower petal.,harvestman,51498
A harvestman blending in with the bark on a tree trunk.,harvestman,39865
A scorpion poised on a desert rock.,scorpion,36753
A close-up of a scorpion showing its menacing sting.,scorpion,92366
A scorpion blending into the sandy background.,scorpion,77665
An intricate scorpion showcasing its unique exoskeleton.,scorpion,9985
"A scorpion in its natural habitat, searching for prey.",scorpion,20571
A black and gold garden spider delicately hanging from its silk thread.,black and gold garden spider,74046
The intricate web of a black and gold garden spider glistening in the sunlight.,black and gold garden spider,64384
A close-up of a black and gold garden spider poised on a leaf.,black and gold garden spider,17843
The stunning patterns of a black and gold garden spider displayed against a backdrop of green.,black and gold garden spider,97499
"A mesmerizing black and gold garden spider spinning its web, capturing the morning dew.",black and gold garden spider,90323
A barn spider gracefully weaving its web in the morning dew.,barn spider,1192
A barn spider perched on a delicate strand of silk in its intricate web.,barn spider,87815
"A barn spider poised in its home, ready to catch its next meal.",barn spider,78983
"A close-up of a barn spider, showcasing its delicate features and unique patterns.",barn spider,86
"A barn spider patiently waiting for its prey, hidden among the leaves.",barn spider,84909
A garden spider weaving its delicate web amidst the green foliage.,garden spider,9460
A close-up of a garden spider showcasing its intricate patterns and vibrant colors.,garden spider,55172
"An up-close shot of a garden spider perched on a leaf, blending perfectly with its surroundings.",garden spider,15537
"A garden spider patiently waiting in its perfectly crafted web, ready to catch its next meal.",garden spider,77763
"Captured in a moment of stillness, a garden spider exuding grace and elegance in its natural habitat.",garden spider,57426
A close-up of a black widow spider poised in its intricate web.,black widow,95883
A menacing black widow spider lurking in the shadows.,black widow,10069
A detailed shot of a black widow spider displaying its distinctive red hourglass shape.,black widow,48571
"An up-close view of a black widow spider crawling with its long, thin legs.",black widow,95464
A striking image of a black widow spider hanging motionless from its silken thread.,black widow,80675
A hairy tarantula perched on a rock.,tarantula,94608
A close-up of a fearsome tarantula in its habitat.,tarantula,21978
A tarantula crawling on its delicate web.,tarantula,78187
A large tarantula resting on a leafy surface.,tarantula,96355
A vibrant tarantula showing off its unique patterns.,tarantula,91524
A wolf spider resting on a tree branch.,wolf spider,52726
A close-up of a hairy wolf spider.,wolf spider,1501
An alert wolf spider crawling on the ground.,wolf spider,57445
A wolf spider blending in with its natural surroundings.,wolf spider,72768
A fascinating wolf spider displaying its distinctive markings.,wolf spider,50571
A close-up of a tick crawling on a leaf.,tick,76348
A tick feeding on the skin of a human arm.,tick,8747
A tick crawling on long grass in a field.,tick,846
A macro shot of a tick on a pet's fur.,tick,28098
A tick attached to a deer's ear.,tick,76854
A centipede crawling on a mossy tree branch.,centipede,83073
A close-up of a centipede exploring a leafy forest floor.,centipede,12967
A centipede scurrying across a rocky path.,centipede,43815
A vibrant centipede blending into a colorful flower garden.,centipede,8339
A centipede navigating through fallen autumn leaves.,centipede,18554
A black grouse perched on a tree branch.,black grouse,51547
A majestic black grouse spreading its wings.,black grouse,79753
A close-up of a black grouse with its impressive plumage.,black grouse,58365
A solitary black grouse standing proudly in a field.,black grouse,1226
"A black grouse in mid-flight, displaying its grace and strength.",black grouse,56336
A ptarmigan perched on a snowy branch.,ptarmigan,33874
A ptarmigan blending into its rocky surroundings.,ptarmigan,4183
"A ptarmigan taking flight, wings gracefully outstretched.",ptarmigan,7259
A ptarmigan camouflaged in its snowy habitat.,ptarmigan,88437
"A ptarmigan with feathers puffed up, ready for winter.",ptarmigan,9604
A ruffed grouse perched on a moss-covered tree branch.,ruffed grouse,39340
A close-up of a ruffed grouse displaying its distinctive ruff.,ruffed grouse,73217
A ruffed grouse camouflaged among fallen leaves on the forest floor.,ruffed grouse,60158
A ruffed grouse taking flight with its wings spread wide.,ruffed grouse,56039
A ruffed grouse standing tall in a snowy woodland landscape.,ruffed grouse,37599
A proud prairie chicken posing in the vast grasslands.,prairie chicken,25899
A magnificent prairie chicken displaying its vibrant feathers.,prairie chicken,40847
A curious prairie chicken peering into the camera with its beautiful eyes.,prairie chicken,60358
A graceful prairie chicken gracefully taking flight across the prairie.,prairie chicken,86927
A content prairie chicken foraging for food amidst the tall prairie grass.,prairie chicken,16648
A majestic peacock displaying its vibrant feathers.,peacock,80576
A peacock gracefully strutting its colorful plumage.,peacock,58581
A stunning peacock showcasing its intricate patterns.,peacock,57952
A beautiful peacock spreading its feathers in full bloom.,peacock,33097
An elegant peacock posing regally for the camera.,peacock,91835
A quail perched on a tree branch.,quail,93127
A quail standing in a peaceful garden.,quail,60877
A quail gracefully walking on a dirt path.,quail,14166
A close-up of a quail in a natural habitat.,quail,98660
A quail exploring a field of wildflowers.,quail,69043
A partridge perched on a snowy branch.,partridge,81200
A majestic partridge displaying its colorful feathers.,partridge,73244
A curious partridge exploring its forest habitat.,partridge,82362
A charming partridge spotted in a blooming meadow.,partridge,95378
A graceful partridge taking flight across a serene landscape.,partridge,85003
"An African grey perched on a tree branch, looking curious.",African grey,23653
A close-up of an African grey with beautiful feathers.,African grey,16821
A playful African grey spreading its wings in flight.,African grey,83614
An African grey showing off its impressive intelligence.,African grey,54403
"A peaceful African grey relaxing on a perch, enjoying the day.",African grey,43395
A colorful macaw perched on a tree branch.,macaw,41678
A vibrant macaw spreading its wings in full display.,macaw,43376
A majestic macaw posing proudly for the camera.,macaw,53844
A stunning macaw showing off its radiant feathers.,macaw,66904
A beautiful macaw perched on a colorful background.,macaw,33041
A sulphur-crested cockatoo perched on a tree branch.,sulphur-crested cockatoo,29507
A close-up of a sulphur-crested cockatoo's vibrant white feathers.,sulphur-crested cockatoo,3666
A sulphur-crested cockatoo spreading its wings in mid-flight.,sulphur-crested cockatoo,89110
A curious sulphur-crested cockatoo peeking out from behind leaves.,sulphur-crested cockatoo,4010
A majestic sulphur-crested cockatoo posing against a blue sky backdrop.,sulphur-crested cockatoo,1757
A vibrant lorikeet perched on a tree branch.,lorikeet,54151
A colorful lorikeet flaunting its striking feathers.,lorikeet,84588
A playful lorikeet spreading its wings in flight.,lorikeet,27343
A curious lorikeet observing its surroundings with bright eyes.,lorikeet,9305
A magnificent lorikeet displaying its stunning rainbow plumage.,lorikeet,32574
"A coucal perched on a branch, enjoying a peaceful morning.",coucal,50642
"A close-up of a beautiful coucal, displaying intricate feather patterns.",coucal,66937
"A coucal gracefully taking flight, showcasing its impressive wing span.",coucal,60132
"A coucal sitting proudly on a fence post, observing its surroundings.",coucal,20084
